# Rime user dictionary
#@/db_name	xoox.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	52095
#@/user_id	2be3b896-1e2b-4276-bba3-679b8b3580b5
a 	啊	c=25 d=6.92897e-14 t=52095
gu 	固	c=1 d=1.73427e-95 t=52095
gu 	故	c=10 d=0.000401622 t=52095
gu 	股	c=2 d=3.9697e-112 t=52095
gu 	顧	c=1 d=3.73745e-40 t=52095
gu dai 	古代	c=2 d=5.3129e-31 t=52095
gu de man 	古德曼	c=1 d=1.19857e-72 t=52095
gu ding 	固定	c=10 d=2.58747e-08 t=52095
gu fen 	股份	c=9 d=0.00336274 t=52095
gu fu 	姑父	c=2 d=9.46585e-61 t=52095
gu ge 	谷歌	c=5 d=5.4626e-05 t=52095
gu gu 	姑姑	c=1 d=4.47454e-40 t=52095
gu ji 	估計	c=1 d=7.902e-113 t=52095
gu jian 	固件	c=7 d=5.1879e-45 t=52095
gu jian bao 	固件包	c=1 d=4.94161e-61 t=52095
gu lou gua wen 	孤陋寡聞	c=1 d=4.84489e-05 t=52095
gu piao 	股票	c=6 d=2.72199e-16 t=52095
gu ren 	古人	c=1 d=1.43621e-53 t=52095
gu shi 	故事	c=1 d=1.78957e-82 t=52095
gu yi 	故意	c=1 d=2.1308e-47 t=52095
gu zha 	古楂	c=1 d=5.99805e-105 t=52095
gu zhang 	故障	c=37 d=1.11944e-78 t=52095
gua 	掛	c=2 d=3.11541e-16 t=52095
gua qi 	掛起	c=4 d=8.63937e-45 t=52095
guai le 	怪了	c=0 d=0.029523 t=52095
guai zai 	怪哉	c=2 d=0.452115 t=52095
guai zai guai zai 	怪哉怪哉	c=1 d=0.207008 t=52095
guan 	官	c=1 d=5.2864e-31 t=52095
guan 	管	c=4 d=0.00479587 t=52095
guan 	關	c=4 d=8.25948e-16 t=52095
guan 	館	c=1 d=6.45222e-52 t=52095
guan bi 	關閉	c=41 d=0.00355287 t=52095
guan dao 	管道	c=2 d=5.46398e-63 t=52095
guan de 	管得	c=1 d=3.48455e-98 t=52095
guan dian 	觀點	c=1 d=5.96872e-18 t=52095
guan diao 	關掉	c=2 d=1.84083e-56 t=52095
guan fang 	官方	c=16 d=0.000574715 t=52095
guan feng 	官封	c=1 d=1.07485e-55 t=52095
guan ji 	關機	c=25 d=2.45451e-05 t=52095
guan jian 	關鍵	c=2 d=1.20954e-91 t=52095
guan jian ci 	關鍵詞	c=1 d=2.05633e-99 t=52095
guan jian shi 	關鍵是	c=1 d=3.33495e-23 t=52095
guan jiao 	管腳	c=2 d=0.0136463 t=52095
guan le 	慣了	c=1 d=1.83082e-56 t=52095
guan li 	管理	c=31 d=1.02872e-07 t=52095
guan li qi 	管理器	c=1 d=9.58379e-89 t=52095
guan li yuan 	管理員	c=11 d=2.11621e-25 t=52095
guan lian 	關聯	c=3 d=0.000325548 t=52095
guan ren 	官人	c=1 d=1.38013e-55 t=52095
guan wang 	官網	c=2 d=2.91082e-11 t=52095
guan wang 	觀望	c=2 d=3.95004e-91 t=52095
guan xi 	關係	c=9 d=7.79729e-15 t=52095
guan xin 	關心	c=2 d=5.67822e-78 t=52095
guan yong 	管用	c=2 d=6.77705e-71 t=52095
guan yu 	關於	c=14 d=4.95556e-06 t=52095
guan zha 	關閘	c=1 d=2.98676e-108 t=52095
guang 	光	c=1 d=4.77489e-69 t=52095
guang 	廣	c=3 d=7.50828e-23 t=52095
guang chang 	廣場	c=0 d=4.57582e-69 t=52095
guang dong 	廣東	c=1 d=7.64159e-13 t=52095
guang fan 	廣泛	c=1 d=4.98347e-72 t=52095
guang fu 	光伏	c=4 d=1.24621e-60 t=52095
guang hua 	光華	c=1 d=3.31471e-69 t=52095
guang mao 	光貓	c=1 d=4.84886e-44 t=52095
gui 	桂	c=5 d=8.64553e-24 t=52095
gui 	歸	c=1 d=5.71871e-44 t=52095
gui 	貴	c=2 d=1.15679e-23 t=52095
gui 	鬼	c=1 d=4.7949e-30 t=52095
gui bi 	規避	c=2 d=4.24447e-66 t=52095
gui cheng 	規程	c=1 d=9.40133e-10 t=52095
gui dang 	歸檔	c=3 d=6.89707e-27 t=52095
gui dao 	軌道	c=2 d=4.04171e-100 t=52095
gui ding 	規定	c=5 d=2.46623e-08 t=52095
gui fan 	規範	c=29 d=2.7213e-07 t=52095
gui gen jie di 	歸根結底	c=1 d=3.70909e-68 t=52095
gui gu 	硅谷	c=1 d=8.26571e-113 t=52095
gui hua 	規劃	c=2 d=1.28263e-46 t=52095
gui ju 	規矩	c=1 d=6.75035e-54 t=52095
gui lei 	歸類	c=1 d=3.03623e-66 t=52095
gui ling 	归零	c=1 d=1.70531e-44 t=52095
gui lv 	規律	c=2 d=1.6997e-52 t=52095
gui mo 	規模	c=1 d=4.83634e-43 t=52095
gui yu zhao yang 	桂語朝陽	c=3 d=6.3026e-93 t=52095
gui yue 	規約	c=138 d=0.152688 t=52095
gui ze 	規則	c=2 d=8.28059e-46 t=52095
gui zi 	櫃子	c=1 d=1.42527e-110 t=52095
gui zi 	貴子	c=1 d=7.20738e-60 t=52095
gui zi 	鬼子	c=1 d=7.17143e-60 t=52095
guo 	國	c=7 d=1.99026e-09 t=52095
guo 	過	c=31 d=0.000606789 t=52095
guo biao 	國標	c=2 d=1.99359e-58 t=52095
guo chan 	國產	c=4 d=1.92289e-48 t=52095
guo chang 	過場	c=1 d=1.93006e-30 t=52095
guo chang 	過長	c=1 d=1.92044e-30 t=52095
guo cheng 	過程	c=15 d=1.51514e-06 t=52095
guo cheng zhong 	過程中	c=1 d=4.61631e-54 t=52095
guo da 	過大	c=2 d=2.26811e-17 t=52095
guo di 	過低	c=3 d=3.52411e-25 t=52095
guo du 	過度	c=3 d=4.25448e-104 t=52095
guo duo 	過多	c=1 d=2.38805e-35 t=52095
guo gao 	過高	c=2 d=8.97813e-83 t=52095
guo ge 	國哥	c=2 d=4.7998e-42 t=52095
guo hua 	國華	c=1 d=3.29818e-69 t=52095
guo ji 	國際	c=16 d=0.106868 t=52095
guo ji shang 	國際上	c=2 d=7.73969e-16 t=52095
guo jia 	國家	c=20 d=0.00742494 t=52095
guo lai 	過來	c=6 d=9.73951e-14 t=52095
guo le 	過了	c=3 d=1.55456e-14 t=52095
guo liu 	過流	c=11 d=0.0025415 t=52095
guo man 	過慢	c=4 d=6.36486e-17 t=52095
guo nei 	國內	c=6 d=8.17312e-10 t=52095
guo nian 	過年	c=4 d=6.64646e-48 t=52095
guo qi 	過期	c=1 d=4.5329e-16 t=52095
guo qu 	過去	c=13 d=4.59984e-12 t=52095
guo ran 	果然	c=1 d=1.50257e-55 t=52095
guo tu 	國土	c=1 d=9.30431e-35 t=52095
guo wai 	國外	c=4 d=1.63928e-50 t=52095
guo wang 	國王	c=2 d=1.73591e-18 t=52095
guo wang 	國網	c=3 d=7.63899e-09 t=52095
guo ya 	過壓	c=10 d=0.00179097 t=52095
guo yu 	國語	c=4 d=1.8224e-103 t=52095
guo yu 	過於	c=2 d=3.72895e-72 t=52095
guo zai 	過載	c=6 d=0.00314744 t=52095
ha 	哈	c=9 d=1.90158e-27 t=52095
ha ha 	哈哈	c=8 d=7.39385e-37 t=52095
ha ha ha 	哈哈哈	c=1 d=5.0447e-98 t=52095
ha lou 	哈嘍	c=6 d=0.00625109 t=52095
ha xi 	哈希	c=2 d=1.69425e-37 t=52095
ha xi biao 	哈希表	c=1 d=8.27496e-38 t=52095
hai 	咳	c=1 d=4.49529e-65 t=52095
hai 	嗨	c=1 d=4.45056e-65 t=52095
hai 	害	c=1 d=4.47287e-65 t=52095
hai 	海	c=2 d=4.89387e-69 t=52095
hai 	還	c=47 d=0.00114054 t=52095
hai cha 	還差	c=1 d=0.000973123 t=52095
hai dao 	海盜	c=1 d=9.9678e-110 t=52095
hai dei 	還得	c=2 d=1.0137e-13 t=52095
hai hao 	還好	c=2 d=9.81868e-21 t=52095
hai hen 	還很	c=1 d=8.84423e-56 t=52095
hai hui 	還會	c=3 d=5.18375e-35 t=52095
hai liang 	海量	c=1 d=1.56129e-06 t=52095
hai mei 	還沒	c=7 d=0.00295295 t=52095
hai neng 	還能	c=1 d=2.77443e-64 t=52095
hai qing 	還請	c=1 d=1.59327e-68 t=52095
hai shi 	還是	c=38 d=0.0198784 t=52095
hai suan 	還算	c=1 d=2.41041e-27 t=52095
hai ting 	還挺	c=1 d=1.64895e-31 t=52095
hai wai 	海外	c=2 d=1.52845e-50 t=52095
hai xing 	還行	c=1 d=2.27654e-90 t=52095
hai yang 	海洋	c=0 d=3.51528e-114 t=52095
hai yang ju 	海洋局	c=1 d=3.53288e-113 t=52095
hai yao 	還要	c=8 d=5.66389e-11 t=52095
hai yong 	還用	c=1 d=3.41323e-90 t=52095
hai you 	還有	c=27 d=0.400517 t=52095
hai zai 	還在	c=1 d=2.84264e-85 t=52095
hai zhen shi 	還真是	c=1 d=5.08571e-105 t=52095
han 	韓	c=7 d=1.28811e-26 t=52095
han bao wang 	漢堡王	c=1 d=3.86034e-97 t=52095
han dian 	漢典	c=3 d=1.16715e-83 t=52095
han gai 	涵蓋	c=4 d=1.46398e-43 t=52095
han guo 	韓國	c=7 d=1.09285e-26 t=52095
han jie 	焊接	c=2 d=4.81729e-26 t=52095
han shan 	寒山	c=0 d=0.067368 t=52095
han shu 	函數	c=82 d=1.05268 t=52095
han shu zhong 	函數中	c=2 d=1.07003e-61 t=52095
han si 	漢斯	c=1 d=4.39776e-101 t=52095
han wen 	韓文	c=2 d=8.07901e-27 t=52095
han yi 	含義	c=10 d=0.0290133 t=52095
han yu 	漢語	c=29 d=6.48212e-68 t=52095
han yu 	韓語	c=3 d=5.75344e-27 t=52095
han zi 	漢字	c=45 d=1.54949e-05 t=52095
hang 	航	c=1 d=2.95462e-69 t=52095
hang 	行	c=22 d=0.711064 t=52095
hang ju 	行距	c=1 d=7.0414e-80 t=52095
hang kong 	航空	c=1 d=3.09187e-15 t=52095
hang lu 	航路	c=2 d=2.47825e-30 t=52095
hang qing 	行情	c=1 d=1.71199e-90 t=52095
hang shou 	行首	c=1 d=1.19666e-112 t=52095
hang shu 	行數	c=3 d=1.58414e-111 t=52095
hang tu 	航圖	c=1 d=3.36058e-113 t=52095
hang ye 	行業	c=13 d=0.000614317 t=52095
hao 	好	c=67 d=2.39093e-05 t=52095
hao 	薅	c=2 d=1.66179e-90 t=52095
hao 	號	c=41 d=0.0472143 t=52095
hao 	鎬	c=1 d=4.42988e-69 t=52095
hao an 	毫安	c=1 d=1.44484e-94 t=52095
hao ba 	好吧	c=1 d=7.43091e-37 t=52095
hao bu hao yong 	好不好用	c=1 d=9.53336e-27 t=52095
hao cai 	耗材	c=1 d=1.54424e-112 t=52095
hao chu 	好處	c=1 d=2.16831e-17 t=52095
hao de 	好地	c=1 d=1.91652e-06 t=52095
hao de 	好的	c=49 d=0.0263839 t=52095
hao di 	好滴	c=2 d=1.43973e-23 t=52095
hao dian 	好點	c=1 d=0.000127168 t=52095
hao dong xi 	好東西	c=2 d=1.55292e-31 t=52095
hao duan 	號段	c=1 d=7.4332e-70 t=52095
hao duo 	好多	c=2 d=9.43659e-54 t=52095
hao fu 	毫伏	c=1 d=2.57081e-79 t=52095
hao hao 	好好	c=1 d=1.3446e-101 t=52095
hao jie 	浩劫	c=1 d=1.74539e-82 t=52095
hao jin 	耗盡	c=2 d=3.0416e-28 t=52095
hao ke 	好客	c=2 d=2.16602e-34 t=52095
hao le 	好了	c=11 d=9.16155e-06 t=52095
hao lou 	號樓	c=5 d=5.03613e-41 t=52095
hao ma 	號碼	c=4 d=1.92572e-69 t=52095
hao miao 	毫秒	c=6 d=1.48495e-13 t=52095
hao qi 	好奇	c=1 d=4.93824e-53 t=52095
hao rang 	好讓	c=1 d=7.21843e-78 t=52095
hao shi 	好使	c=1 d=4.42973e-98 t=52095
hao shi 	耗時	c=0 d=3.11511e-104 t=52095
hao shi chang 	耗時長	c=1 d=3.13072e-103 t=52095
hao shu 	好書	c=1 d=7.2947e-84 t=52095
hao ting 	好聽	c=0 d=1.5988e-51 t=52095
hao xian 	號線	c=1 d=1.99075e-100 t=52095
hao xiang 	好像	c=13 d=4.53005e-13 t=52095
hao yong 	好用	c=6 d=6.93864e-17 t=52095
hao you 	好友	c=2 d=4.16197e-41 t=52095
hao yun 	好運	c=1 d=2.26565e-63 t=52095
he 	何	c=2 d=0.0722527 t=52095
he 	合	c=34 d=6.88591e-10 t=52095
he 	和	c=195 d=0.412356 t=52095
he 	喝	c=1 d=5.13557e-14 t=52095
he 	核	c=2 d=4.29749e-65 t=52095
he 	河	c=1 d=2.83877e-69 t=52095
he 	盒	c=12 d=6.70962e-71 t=52095
he 	賀	c=2 d=6.6491e-23 t=52095
he bian 	河邊	c=0 d=8.32918e-57 t=52095
he bian zou 	河邊走	c=1 d=8.37093e-56 t=52095
he bing 	合併	c=4 d=3.22343e-64 t=52095
he bing shi 	合併時	c=1 d=2.19219e-87 t=52095
he dan 	核彈	c=1 d=3.99538e-31 t=52095
he dui 	覈對	c=1 d=5.38075e-92 t=52095
he fang 	何妨	c=1 d=4.75948e-31 t=52095
he fang 	何方	c=2 d=8.32324e-77 t=52095
he he 	喝喝	c=1 d=0.00458484 t=52095
he ji 	合計	c=2 d=3.43114e-34 t=52095
he ji 	合集	c=8 d=9.98267e-10 t=52095
he li 	合理	c=3 d=1.73532e-15 t=52095
he nan 	河南	c=1 d=3.43278e-69 t=52095
he shi 	何時	c=0 d=0.145725 t=52095
he shi 	合適	c=6 d=5.06789e-05 t=52095
he shi xiu 	何時休	c=2 d=1.65921 t=52095
he tang 	和唐	c=1 d=3.0773e-92 t=52095
he tang yue se 	和唐悅色	c=1 d=2.83723e-92 t=52095
he ti 	合體	c=1 d=3.98642e-34 t=52095
he tong 	合同	c=20 d=0.00293808 t=52095
he tong fa 	合同法	c=2 d=6.72567e-87 t=52095
he wei 	何爲	c=1 d=1.36877e-47 t=52095
he wei mao yan 	何爲貓眼	c=1 d=1.37563e-46 t=52095
he xiang 	合相	c=6 d=1.41387e-09 t=52095
he yi 	合一	c=1 d=3.32974e-34 t=52095
he ze 	菏澤	c=0 d=1.97543e-69 t=52095
he ze ren shi 	菏澤人士	c=1 d=1.98533e-68 t=52095
he ze shi 	菏澤市	c=1 d=2.2134e-112 t=52095
he zha 	合閘	c=19 d=0.0392297 t=52095
he zha jian 	合閘鍵	c=1 d=8.66559e-110 t=52095
he zha zhong 	合閘中	c=1 d=1.53445e-96 t=52095
he zi 	赫茲	c=8 d=1.24047e-24 t=52095
he zu 	合租	c=1 d=3.42589e-16 t=52095
he zuo 	合作	c=2 d=3.92347e-82 t=52095
hei 	黑	c=3 d=3.29604e-32 t=52095
hei bai 	黑白	c=2 d=8.1024e-105 t=52095
hei hei hei 	嘿嘿嘿	c=1 d=1.8666e-19 t=52095
hei hu hu 	黑乎乎	c=1 d=7.95133e-98 t=52095
hei ming dan 	黑名單	c=1 d=1.26203e-32 t=52095
hei se 	黑色	c=1 d=0.000209665 t=52095
hei ti 	黑體	c=17 d=2.82335e-05 t=52095
hei tie 	黑鐵	c=1 d=1.56315e-20 t=52095
hei xia zi 	黑匣子	c=1 d=3.50236e-11 t=52095
hei xian 	黑線	c=1 d=9.14465e-96 t=52095
hen 	很	c=13 d=2.45649e-13 t=52095
hen chou 	很醜	c=1 d=6.59308e-12 t=52095
hen da 	很大	c=3 d=2.09159e-05 t=52095
hen duo 	很多	c=6 d=3.1723e-23 t=52095
hen hao 	很好	c=2 d=3.68632e-25 t=52095
hen ji 	痕跡	c=1 d=1.03337e-92 t=52095
hen jin 	很近	c=1 d=5.6013e-94 t=52095
hen shi 	很是	c=1 d=5.71404e-05 t=52095
hen yan zhong 	很嚴重	c=1 d=9.06812e-56 t=52095
heng 	恆	c=5 d=1.43777e-07 t=52095
heng 	橫	c=1 d=3.64618e-102 t=52095
heng 	衡	c=14 d=0.00252883 t=52095
heng da 	恆大	c=10 d=0.00436124 t=52095
heng long guang chang 	衡龍廣場	c=1 d=4.59876e-68 t=52095
heng xian 	橫線	c=3 d=1.03383e-09 t=52095
heng xiang 	橫向	c=2 d=1.81563e-105 t=52095
hong 	宏	c=12 d=0.352429 t=52095
hong 	紅	c=5 d=0.0428651 t=52095
hong bei 	烘焙	c=1 d=4.03308e-112 t=52095
hong da 	宏大	c=0 d=1.30498e-15 t=52095
hong deng 	紅燈	c=6 d=3.83692e-13 t=52095
hong lou meng 	紅樓夢	c=12 d=9.88411e-69 t=52095
hong se 	紅色	c=4 d=0.834387 t=52095
hong shao 	紅燒	c=1 d=5.56105e-68 t=52095
hong wai 	紅外	c=53 d=0.0648134 t=52095
hong yan 	紅顏	c=0 d=0.143792 t=52095
hong yan 	鴻雁	c=0 d=0.0782705 t=52095
hong yan jiu 	紅顏舊	c=3 d=2.40242 t=52095
hou 	侯	c=4 d=4.21689e-69 t=52095
hou 	候	c=1 d=2.17297e-101 t=52095
hou 	吼	c=3 d=1.81865e-07 t=52095
hou 	後	c=188 d=0.419132 t=52095
hou guo 	後果	c=1 d=9.02289e-56 t=52095
hou lai 	後來	c=3 d=5.73686e-74 t=52095
hou lang 	後浪	c=1 d=0.00615802 t=52095
hou men 	後門	c=2 d=4.48108e-108 t=52095
hou mian 	後面	c=7 d=5.74054e-31 t=52095
hou qi 	後期	c=4 d=1.52778e-81 t=52095
hou tai 	後臺	c=9 d=0.000321929 t=52095
hou xu 	後續	c=13 d=8.18705e-06 t=52095
hou zhe 	後者	c=7 d=1.25645e-12 t=52095
hou zhi 	後置	c=2 d=1.16044e-63 t=52095
hou zhui 	後綴	c=1 d=4.62717e-111 t=52095
hu 	乎	c=0 d=3.19754e-29 t=52095
hu 	湖	c=1 d=5.61484e-93 t=52095
hu 	胡	c=1 d=3.33076e-67 t=52095
hu kou 	戶口	c=3 d=2.85826e-88 t=52095
hu lu 	葫蘆	c=0 d=5.02858e-32 t=52095
hu lu miao 	葫蘆廟	c=1 d=5.05379e-31 t=52095
hu lve 	忽略	c=4 d=1.10402 t=52095
hu shen 	滬深	c=1 d=1.87673e-112 t=52095
hu xiang 	互相	c=1 d=2.12566e-48 t=52095
hu xing 	戶型	c=4 d=1.97214e-19 t=52095
hu xing tu 	戶型圖	c=1 d=1.8238e-99 t=52095
hu ying 	呼應	c=1 d=3.43056e-32 t=52095
hu zhu 	互助	c=2 d=2.69172e-112 t=52095
hua 	化	c=18 d=1.99473e-06 t=52095
hua 	畫	c=1 d=4.54062e-36 t=52095
hua 	花	c=1 d=2.89612e-69 t=52095
hua 	華	c=1 d=1.4143e-78 t=52095
hua 	話	c=24 d=4.64637e-19 t=52095
hua chang 	話長	c=1 d=7.96268e-56 t=52095
hua da 	華大	c=33 d=5.75338e-16 t=52095
hua fei 	話費	c=1 d=7.54554e-70 t=52095
hua fen 	劃分	c=4 d=1.78756e-10 t=52095
hua fen wei 	劃分爲	c=1 d=2.40992e-54 t=52095
hua fu 	華府	c=3 d=5.23168e-85 t=52095
hua ge 	花個	c=1 d=3.62576e-36 t=52095
hua hua 	畫畫	c=1 d=5.69407e-52 t=52095
hua hua 	花花	c=1 d=5.66567e-52 t=52095
hua la zi mo 	花剌子模	c=5 d=4.86035e-20 t=52095
hua mian 	畫面	c=4 d=6.51818e-54 t=52095
hua nian 	華年	c=1 d=2.76388e-78 t=52095
hua pen 	花盆	c=1 d=7.03279e-95 t=52095
hua shui 	划水	c=3 d=0.0065062 t=52095
hua ti 	話題	c=4 d=2.52487e-14 t=52095
hua tu 	畫圖	c=0 d=4.34082e-37 t=52095
hua wei 	華爲	c=5 d=7.77451e-10 t=52095
hua wen 	華文	c=2 d=7.39889e-08 t=52095
hua zhuang shi 	化妝師	c=1 d=1.28041e-55 t=52095
huai 	壞	c=6 d=9.93486e-19 t=52095
huai 	徊	c=1 d=1.28281e-77 t=52095
huai 	槐	c=1 d=1.27004e-77 t=52095
huai de 	壞的	c=1 d=1.15801e-20 t=52095
huai le 	壞了	c=4 d=1.31783e-41 t=52095
huai shi 	壞事	c=1 d=1.383e-50 t=52095
huai xiao xi 	壞消息	c=2 d=4.90272e-19 t=52095
huai yi 	懷疑	c=1 d=2.10295e-98 t=52095
huan 	換	c=11 d=6.14981e-16 t=52095
huan 	歡	c=1 d=8.71051e-112 t=52095
huan 	環	c=2 d=2.54307e-69 t=52095
huan 	還	c=3 d=1.59989e-58 t=52095
huan bian 	緩變	c=6 d=2.16103e-95 t=52095
huan chong 	緩衝	c=7 d=1.33973e-47 t=52095
huan chong qu 	緩衝區	c=11 d=1.08068e-37 t=52095
huan cun 	緩存	c=7 d=4.65636e-38 t=52095
huan ge 	換個	c=3 d=7.81481e-12 t=52095
huan guo 	換過	c=1 d=7.43344e-41 t=52095
huan hang 	換行	c=5 d=0.00144653 t=52095
huan jing 	環境	c=13 d=8.38848e-06 t=52095
huan kuan 	還款	c=6 d=2.01371e-58 t=52095
huan wan le 	換完了	c=1 d=3.9882e-98 t=52095
huan xiang 	幻想	c=6 d=1.09801e-19 t=52095
huan xing 	喚醒	c=62 d=8.97562e-25 t=52095
huan ying 	歡迎	c=6 d=1.68325e-35 t=52095
huan ying nin 	歡迎您	c=1 d=5.86111e-98 t=52095
huan yuan 	還原	c=4 d=6.09759e-34 t=52095
huan zhe 	患者	c=1 d=0.00980366 t=52095
huang 	黃	c=9 d=0.00138887 t=52095
huang guan 	簧管	c=0 d=1.01674e-108 t=52095
huang jin 	黃金	c=6 d=8.1983e-20 t=52095
hui 	回	c=22 d=6.29771e-21 t=52095
hui 	會	c=154 d=0.000147888 t=52095
hui 	灰	c=1 d=5.38717e-106 t=52095
hui 	輝	c=1 d=3.94864e-69 t=52095
hui bei 	會被	c=9 d=1.79257e-30 t=52095
hui bian 	汇编	c=1 d=1.29817e-70 t=52095
hui bian qi 	汇编器	c=3 d=1.23117e-70 t=52095
hui che 	回車	c=6 d=2.0983e-73 t=52095
hui che huan hang 	回車換行	c=1 d=2.10882e-72 t=52095
hui da 	回答	c=2 d=1.25079e-15 t=52095
hui dao zhi 	會導致	c=1 d=3.31888e-25 t=52095
hui diao 	回調	c=11 d=6.77544e-23 t=52095
hui du 	灰度	c=5 d=1.10168e-51 t=52095
hui dui 	會對	c=1 d=4.51384e-84 t=52095
hui fu 	回覆	c=5 d=1.76605e-07 t=52095
hui fu 	恢復	c=28 d=0.00136037 t=52095
hui fu chu chang 	恢復出廠	c=1 d=1.87967e-101 t=52095
hui gu 	回顧	c=1 d=5.7464e-42 t=52095
hui jia 	回家	c=1 d=2.33417e-90 t=52095
hui jiang 	會將	c=1 d=2.17422e-49 t=52095
hui lai 	回來	c=4 d=8.64847e-29 t=52095
hui lv 	匯率	c=2 d=2.26372e-53 t=52095
hui meng meng 	灰濛濛	c=1 d=3.51131e-41 t=52095
hui nang ao ei 	會囊奧誒	c=1 d=0.66365 t=52095
hui qu 	回去	c=6 d=1.67216e-19 t=52095
hui tou 	回頭	c=1 d=2.43738e-99 t=52095
hui tu 	繪圖	c=1 d=1.0918e-92 t=52095
hui xian 	回顯	c=1 d=3.08894e-92 t=52095
hui xiang 	回想	c=1 d=7.01486e-65 t=52095
hui yi 	會議	c=1 d=8.24797e-29 t=52095
hui ying da 	會應答	c=1 d=3.26359e-92 t=52095
hui yong 	會用	c=2 d=1.56563e-41 t=52095
hui you 	會有	c=1 d=2.12929e-68 t=52095
hui yuan 	會員	c=1 d=1.46413e-103 t=52095
hui zai 	會在	c=1 d=1.94847e-24 t=52095
hui zhi xing 	會執行	c=1 d=1.64642e-13 t=52095
hui zong 	彙總	c=5 d=4.05796e-08 t=52095
hun 	婚	c=1 d=3.34917e-73 t=52095
hun 	魂	c=1 d=1.3022e-77 t=52095
hun he 	混合	c=1 d=2.59461e-11 t=52095
hun pai 	混排	c=1 d=3.10473e-05 t=52095
hun wei yi tan 	混爲一談	c=1 d=2.51092e-37 t=52095
hun xiao 	混淆	c=2 d=2.49839e-37 t=52095
huo 	或	c=45 d=0.920811 t=52095
huo 	活	c=2 d=4.68911e-91 t=52095
huo 	貨	c=1 d=9.92243e-27 t=52095
huo de 	獲得	c=2 d=1.2653e-33 t=52095
huo er 	霍爾	c=3 d=3.97522e-84 t=52095
huo hu 	火狐	c=1 d=1.44263e-76 t=52095
huo jian 	火箭	c=1 d=3.1386e-15 t=52095
huo li 	活力	c=1 d=3.04584e-15 t=52095
huo li fa dian 	火力發電	c=1 d=3.06111e-15 t=52095
huo qu 	獲取	c=25 d=3.5997e-10 t=52095
huo shi 	伙食	c=2 d=1.42802e-66 t=52095
huo shi 	或是	c=2 d=5.77146e-05 t=52095
huo tui 	火腿	c=1 d=1.68966e-112 t=52095
huo xian 	火線	c=2 d=1.89068e-15 t=52095
huo you 	或由	c=1 d=1.19844e-12 t=52095
huo yue 	活躍	c=2 d=3.03116e-17 t=52095
huo zai 	活在	c=1 d=2.277e-63 t=52095
huo zhe 	或者	c=27 d=0.0209633 t=52095
huo zhe shi 	或者是	c=1 d=1.59283e-06 t=52095
huo zhe shuo 	或者說	c=1 d=9.65543e-59 t=52095
ji 	即	c=21 d=0.000177779 t=52095
ji 	及	c=72 d=3.62633e-07 t=52095
ji 	吉	c=4 d=1.13601e-59 t=52095
ji 	寄	c=0 d=0.0722527 t=52095
ji 	幾	c=6 d=1.74159e-27 t=52095
ji 	既	c=2 d=0.0157644 t=52095
ji 	機	c=17 d=2.35998e-13 t=52095
ji 	積	c=0 d=3.82712e-114 t=52095
ji 	級	c=2 d=1.5272e-11 t=52095
ji 	計	c=3 d=3.44818e-51 t=52095
ji 	記	c=1 d=4.56974e-23 t=52095
ji 	集	c=1 d=3.38466e-50 t=52095
ji 	雞	c=0 d=4.24505e-98 t=52095
ji ba 	雞巴	c=1 d=2.11493e-106 t=52095
ji ben 	基本	c=46 d=0.956389 t=52095
ji bian 	即便	c=2 d=3.64145e-28 t=52095
ji bie 	級別	c=5 d=1.2283e-37 t=52095
ji bu 	極不	c=0 d=1.53011e-05 t=52095
ji bu sen 	吉布森	c=1 d=1.12681e-81 t=52095
ji bu you hao 	極不友好	c=1 d=0.000153778 t=52095
ji chang 	機場	c=1 d=3.31056e-113 t=52095
ji chao 	集抄	c=1 d=1.71917e-51 t=52095
ji cheng 	積成	c=40 d=0.00839633 t=52095
ji cheng 	繼承	c=2 d=1.29379e-109 t=52095
ji cheng 	集成	c=8 d=2.45625e-29 t=52095
ji cheng ce shi 	集成测试	c=4 d=9.67375e-99 t=52095
ji cheng dian zi 	積成電子	c=11 d=1.53127e-101 t=52095
ji chu 	基礎	c=33 d=4.27633e-07 t=52095
ji chu shang 	基礎上	c=5 d=2.83944e-13 t=52095
ji ci 	幾次	c=1 d=5.41233e-102 t=52095
ji ci 	籍此	c=1 d=2.89769e-46 t=52095
ji cun qi 	寄存器	c=34 d=8.09737e-45 t=52095
ji da 	極大	c=4 d=2.02103e-13 t=52095
ji de 	記得	c=3 d=8.16703e-60 t=52095
ji dian 	基點	c=1 d=2.0921e-96 t=52095
ji dian 	幾點	c=2 d=1.75151e-35 t=52095
ji er 	繼而	c=1 d=1.01102e-70 t=52095
ji fen 	積分	c=2 d=1.84756e-56 t=52095
ji fen zhong 	幾分鐘	c=1 d=1.47032e-35 t=52095
ji gang 	濟鋼	c=2 d=2.36703e-41 t=52095
ji gao 	濟高	c=5 d=1.37938e-78 t=52095
ji ge 	幾個	c=14 d=4.26975e-07 t=52095
ji gou 	機構	c=2 d=5.3663e-31 t=52095
ji guang 	濟廣	c=1 d=6.32856e-89 t=52095
ji hao 	幾號	c=1 d=2.59083e-82 t=52095
ji hao 	級號	c=1 d=3.23948e-93 t=52095
ji he 	幾何	c=1 d=1.08636e-92 t=52095
ji hu 	幾乎	c=1 d=7.56041e-05 t=52095
