# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	21961
#@/user_id	2be3b896-1e2b-4276-bba3-679b8b3580b5
a 	啊	c=7 d=0.08291 t=21961
shi yong de 	使用的	c=2 d=5.81541e-06 t=21961
shi yong guo 	使用過	c=2 d=1.87588e-12 t=21961
shi yong mao bo li 	使用毛玻璃	c=2 d=2.0703e-24 t=21961
shi yong shi 	使用時	c=1 d=9.23902e-11 t=21961
shi yong zhe 	使用者	c=1 d=1.18652e-12 t=21961
shi zai 	是在	c=1 d=0.000270565 t=21961
shi zhi 	使之	c=1 d=6.04122e-13 t=21961
shi zhong 	始終	c=1 d=6.33456e-12 t=21961
shi zhong 	時鐘	c=14 d=0.438257 t=21961
shi zhong yuan 	時鐘源	c=1 d=9.68599e-08 t=21961
shou 	受	c=3 d=2.09786e-09 t=21961
shou 	收	c=14 d=3.40668 t=21961
shou 	首	c=3 d=0.951229 t=21961
shou bu dao 	收不到	c=2 d=0.25924 t=21961
shou cang jia 	收藏夾	c=1 d=2.12429e-11 t=21961
shou ce 	手冊	c=4 d=3.84389e-13 t=21961
shou chi 	手持	c=1 d=2.54982e-12 t=21961
shou ci 	首次	c=15 d=1.52307 t=21961
shou dao 	收到	c=32 d=1.81632 t=21961
shou dong 	手動	c=7 d=0.169589 t=21961
shou fa 	收發	c=7 d=0.83527 t=21961
shou fa 	首發	c=1 d=2.12942e-10 t=21961
shou fang 	收方	c=2 d=3.53844e-16 t=21961
shou fou 	收否	c=1 d=9.02626e-31 t=21961
shou huo 	收貨	c=1 d=0.156453 t=21961
shou ji 	手機	c=0 d=1.41319e-11 t=21961
shou ji ban 	手機版	c=1 d=1.42028e-10 t=21961
shou qu 	收取	c=1 d=4.42865e-07 t=21961
shou wan 	收完	c=1 d=0.282239 t=21961
shou wo 	手握	c=1 d=2.34204e-12 t=21961
shou xian 	受限	c=1 d=6.35637e-23 t=21961
shou xian 	首先	c=9 d=0.012758 t=21961
shou xin 	手心	c=1 d=8.27241e-05 t=21961
shou xuan xiang 	收選項	c=1 d=0.00030659 t=21961
shou zhen 	收幀	c=23 d=0.524926 t=21961
shou zhen 	首幀	c=1 d=9.70776e-05 t=21961
shou zi jie 	首字節	c=3 d=0.321467 t=21961
shu 	丨	c=1 d=1.10532e-31 t=21961
shu 	數	c=12 d=0.0904036 t=21961
shu 	豎	c=1 d=1.08344e-31 t=21961
shu bu zhi 	殊不知	c=1 d=2.18786e-05 t=21961
shu chu 	輸出	c=3 d=9.37639e-06 t=21961
shu ji 	書籍	c=1 d=3.33098e-09 t=21961
shu ju 	數據	c=226 d=4.71122 t=21961
shu ju du qu 	數據讀取	c=1 d=7.67598e-07 t=21961
shu ju duan 	數據段	c=1 d=3.49629e-20 t=21961
shu ju lian lu 	數據鏈路	c=1 d=3.23198e-07 t=21961
shu ju qu 	數據區	c=3 d=2.2352e-11 t=21961
shu ju wei 	數據位	c=7 d=1.88536 t=21961
shu ju yu 	數據域	c=1 d=5.04262e-05 t=21961
shu li 	梳理	c=6 d=2.99845e-07 t=21961
shu liang 	數量	c=23 d=1.23267 t=21961
shu ming 	書名	c=1 d=8.16313e-25 t=21961
shu mu 	數目	c=2 d=7.73036e-13 t=21961
shu ru 	輸入	c=7 d=0.000235716 t=21961
shu ru fa 	輸入法	c=4 d=0.0531307 t=21961
shu xi 	熟悉	c=2 d=0.00125578 t=21961
shu xue 	數學	c=1 d=0.131994 t=21961
shu yu 	屬於	c=4 d=0.0804596 t=21961
shu yu 	術語	c=3 d=3.80815e-13 t=21961
shu zhi 	數值	c=5 d=1.23192e-05 t=21961
shu zi 	數字	c=11 d=0.0997011 t=21961
shu zi shen 	數字神	c=1 d=2.44984e-12 t=21961
shu zu 	數組	c=27 d=1.95068 t=21961
shuai 	帥	c=1 d=5.62304e-22 t=21961
shuang 	雙	c=2 d=0.0178173 t=21961
shuang ji 	雙擊	c=1 d=3.24366e-20 t=21961
shuang li he 	雙離合	c=1 d=3.10833e-48 t=21961
shuang pin 	雙拼	c=12 d=2.62506 t=21961
shuang tu mian 	雙凸面	c=1 d=3.55347e-05 t=21961
shuang yu 	雙魚	c=1 d=9.92074e-25 t=21961
shui 	水	c=8 d=0.360595 t=21961
shui 	睡	c=5 d=5.60476e-07 t=21961
shui biao 	水錶	c=9 d=9.18993e-05 t=21961
shui mian 	睡眠	c=3 d=0.000350078 t=21961
shui mian zhuang tai 	睡眠狀態	c=1 d=0.00351752 t=21961
shui ping 	水平	c=1 d=5.64353e-06 t=21961
shui re qi 	水熱氣	c=2 d=0.158817 t=21961
shui wu 	水務	c=13 d=0.000579131 t=21961
shui wu xi tong 	水務系統	c=1 d=0.000194515 t=21961
shun dai 	順帶	c=1 d=4.54526e-48 t=21961
shun shi 	瞬時	c=5 d=0.319898 t=21961
shun xu 	順序	c=1 d=0.00334597 t=21961
shuo 	說	c=8 d=7.36783e-05 t=21961
shuo cuo 	說錯	c=1 d=0.00267181 t=21961
shuo de 	說的	c=3 d=4.30889e-08 t=21961
shuo guo 	說過	c=1 d=3.05164e-08 t=21961
shuo lai 	說來	c=1 d=7.50456e-06 t=21961
shuo le 	說了	c=1 d=2.93908e-07 t=21961
shuo ming 	說明	c=35 d=0.144529 t=21961
shuo qi 	說起	c=0 d=1.49645e-08 t=21961
shuo qi le 	說起了	c=1 d=1.50395e-07 t=21961
shuo shi 	說是	c=1 d=3.45021e-11 t=21961
shuo yi sheng 	說一聲	c=1 d=1.98236e-21 t=21961
si 	四	c=2 d=0.00181803 t=21961
si 	死	c=1 d=4.21482e-13 t=21961
si 	肆	c=1 d=0.00384878 t=21961
si biao 	四表	c=2 d=0.0115994 t=21961
si ceng 	四層	c=1 d=0.0159229 t=21961
si da 	四大	c=3 d=2.77248e-12 t=21961
si hou 	死後	c=0 d=1.50703e-32 t=21961
si kao 	思考	c=2 d=3.6718e-08 t=21961
si le 	死了	c=1 d=2.06165e-31 t=21961
si xin 	私信	c=1 d=0.00887071 t=21961
si yuan 	思源	c=13 d=5.35717e-11 t=21961
si yuan song ti 	思源宋體	c=1 d=1.15263e-24 t=21961
si zi 	四字	c=0 d=9.53174e-26 t=21961
si zi jie 	四字節	c=1 d=9.57952e-25 t=21961
song 	送	c=4 d=0.029671 t=21961
song nen ping yuan 	送嫩平原	c=1 d=2.98959e-31 t=21961
song ti 	宋體	c=10 d=5.38402e-11 t=21961
sou 	搜	c=1 d=5.97907e-09 t=21961
sou biao 	搜表	c=1 d=0.00149594 t=21961
sou dao 	搜到	c=1 d=0.00151855 t=21961
sou suo 	搜索	c=2 d=0.0750286 t=21961
su du 	速度	c=1 d=7.375e-07 t=21961
su lv 	速率	c=6 d=0.00335867 t=21961
suan fa 	算法	c=1 d=1.11128e-06 t=21961
suan shu 	算數	c=0 d=2.39969e-05 t=21961
suan shu yun suan 	算數運算	c=1 d=0.000241172 t=21961
suan suan 	算算	c=1 d=3.21065e-05 t=21961
suan zuo 	算作	c=1 d=0.000112788 t=21961
sui 	遂	c=3 d=0.0784825 t=21961
sui bian 	隨便	c=1 d=0.10435 t=21961
sui hou 	隨後	c=1 d=1.87953e-12 t=21961
sui ji 	隨機	c=1 d=7.76104e-19 t=21961
sui ji shu 	隨機數	c=1 d=2.03503e-06 t=21961
sui ma 	誶罵	c=1 d=0.0193512 t=21961
sui ran 	雖然	c=5 d=0.0715242 t=21961
sui yi 	隨意	c=1 d=0.00670434 t=21961
sui yuan 	隨緣	c=1 d=9.47452e-13 t=21961
sui zhe 	隨着	c=1 d=1.83312e-12 t=21961
sun shi 	損失	c=2 d=1.78027e-13 t=21961
suo 	嗦	c=1 d=0.00382958 t=21961
suo 	所	c=3 d=0.0283414 t=21961
suo duan 	縮短	c=5 d=0.895834 t=21961
suo shi yong 	所使用	c=0 d=3.23859e-32 t=21961
suo shi yong de 	所使用的	c=1 d=3.25482e-31 t=21961
suo shu 	所屬	c=2 d=0.00609675 t=21961
suo shuo 	所說	c=4 d=0.00715481 t=21961
suo xie 	縮寫	c=6 d=0.0176857 t=21961
suo xing 	所幸	c=1 d=9.8307e-06 t=21961
suo xing 	索性	c=1 d=9.21203e-06 t=21961
suo xu 	所需	c=4 d=0.161234 t=21961
suo yi 	所以	c=22 d=2.53009 t=21961
suo yin 	索引	c=12 d=1.98012 t=21961
suo yong 	所用	c=2 d=2.23358e-13 t=21961
suo you 	所有	c=17 d=1.13009 t=21961
suo zai 	所在	c=1 d=0.00131358 t=21961
suo zhan 	所佔	c=3 d=3.81985e-19 t=21961
suo zhang wo 	所掌握	c=1 d=7.88932e-06 t=21961
suo zhi 	所致	c=1 d=1.0095e-23 t=21961
suo zuo 	所做	c=1 d=8.46137e-06 t=21961
ta 	他	c=6 d=6.05274e-06 t=21961
ta 	她	c=2 d=0.000291637 t=21961
ta 	它	c=7 d=0.0386078 t=21961
ta de 	它的	c=1 d=7.02966e-31 t=21961
ta men 	他們	c=4 d=0.768293 t=21961
ta ru 	踏入	c=1 d=9.63768e-08 t=21961
ta shi 	他是	c=1 d=6.78787e-31 t=21961
ta yong 	他用	c=1 d=8.19707e-15 t=21961
tai 	太	c=2 d=0.00298248 t=21961
tai 	態	c=6 d=0.300239 t=21961
tai 	臺	c=10 d=0.0788664 t=21961
tai gao 	太高	c=1 d=0.0143357 t=21961
tai ju 	擡舉	c=1 d=1.44498e-07 t=21961
tai shao 	太少	c=3 d=3.66379e-47 t=21961
tan 	談	c=1 d=2.24325e-05 t=21961
tan tao 	探討	c=4 d=0.00602664 t=21961
tang 	羰	c=2 d=5.85034e-10 t=21961
tang pu sen 	湯普森	c=1 d=1.6998e-06 t=21961
tang ruo 	倘若	c=1 d=1.53486e-11 t=21961
tao 	套	c=2 d=0.013342 t=21961
tao bao 	淘寶	c=1 d=5.94925e-09 t=21961
tao jie 	套接	c=0 d=6.91087e-08 t=21961
tao jie zi 	套接字	c=4 d=5.21289e-06 t=21961
tao lun 	討論	c=4 d=0.00181803 t=21961
tao lun qu 	討論區	c=1 d=8.8034e-31 t=21961
te 	特	c=2 d=1.39504e-05 t=21961
te bie 	特別	c=6 d=0.00573361 t=21961
te ding 	特定	c=1 d=8.19009e-05 t=21961
te shu 	特殊	c=1 d=1.02229e-24 t=21961
te shu xing 	特殊性	c=1 d=2.9043e-14 t=21961
te xing 	特性	c=21 d=0.0548694 t=21961
te zhi 	特製	c=1 d=2.07826e-18 t=21961
tei 	忒	c=2 d=9.52657e-11 t=21961
teng 	疼	c=1 d=1.03668e-12 t=21961
teng 	騰	c=1 d=4.11999e-10 t=21961
ti 	體	c=9 d=0.400517 t=21961
ti dai 	替代	c=5 d=1.15378e-08 t=21961
ti dao 	提到	c=1 d=1.21279e-05 t=21961
ti gao 	提高	c=4 d=0.827008 t=21961
ti gong 	提供	c=6 d=1.56014 t=21961
ti gong le 	提供了	c=1 d=2.64064e-12 t=21961
ti huan 	替換	c=9 d=0.980199 t=21961
ti jian 	體檢	c=1 d=0.0237541 t=21961
ti jiao 	提交	c=12 d=2.07213e-07 t=21961
ti qian 	提前	c=2 d=1.49645e-07 t=21961
ti qu 	提取	c=9 d=0.798192 t=21961
ti shi 	提示	c=1 d=1.21697e-16 t=21961
ti xian 	體現	c=0 d=2.16006e-32 t=21961
ti xian le 	體現了	c=1 d=2.17089e-31 t=21961
ti xian zai 	體現在	c=1 d=0.0221482 t=21961
ti xing 	提醒	c=2 d=4.50972e-06 t=21961
ti yan 	體驗	c=1 d=1.22769e-31 t=21961
tian 	天	c=8 d=0.988418 t=21961
tian chong 	填充	c=4 d=2.52628e-12 t=21961
tian di wan wu 	天地萬物	c=1 d=1.35681e-31 t=21961
tian jia 	添加	c=38 d=0.929543 t=21961
tian jin 	天津	c=1 d=1.22582e-13 t=21961
tian wang 	天王	c=1 d=9.14865e-13 t=21961
tiao 	條	c=1 d=0.66034 t=21961
tiao 	調	c=1 d=2.62247e-19 t=21961
tiao guo 	跳過	c=2 d=0.000139842 t=21961
tiao jian 	條件	c=6 d=0.078868 t=21961
tiao shi 	調試	c=23 d=0.054377 t=21961
tiao zheng 	調整	c=23 d=0.522772 t=21961
tiao zhi 	調製	c=6 d=1.00314 t=21961
tiao zhuan 	跳轉	c=5 d=1.96561 t=21961
tie 	貼	c=2 d=1.60081e-06 t=21961
ting shang 	停上	c=0 d=6.89186e-05 t=21961
ting shang dian 	停上電	c=1 d=0.00069264 t=21961
ting zhi 	停止	c=10 d=2.23441 t=21961
ting zhi wei 	停止位	c=10 d=0.699162 t=21961
tong 	同	c=6 d=2.52316e-06 t=21961
tong 	桶	c=1 d=2.58167e-11 t=21961
tong 	通	c=2 d=2.62613e-06 t=21961
tong 	銅	c=1 d=2.45576e-11 t=21961
tong bu 	同步	c=8 d=0.280832 t=21961
tong bu guo 	通不過	c=1 d=6.14735e-12 t=21961
tong chang 	通常	c=4 d=4.255e-07 t=21961
tong chi 	痛斥	c=1 d=1.64558e-07 t=21961
tong dao 	通道	c=73 d=0.713056 t=21961
tong dao hao 	通道號	c=1 d=7.56041e-05 t=21961
tong guo 	通過	c=21 d=0.723378 t=21961
tong ji 	同級	c=1 d=1.61382e-13 t=21961
tong ji 	統計	c=1 d=6.47705e-09 t=21961
tong pei 	統配	c=1 d=3.7183e-09 t=21961
tong shi 	同事	c=1 d=3.33846e-06 t=21961
tong shi 	同時	c=14 d=1.29484 t=21961
tong xiao tie 	痛消貼	c=1 d=1.02124e-12 t=21961
tong xin 	通信	c=121 d=1.93532 t=21961
tong xin ni 	通信你	c=2 d=0.000287394 t=21961
tong xing 	同性	c=1 d=0.0155297 t=21961
tong xun 	通訊	c=2 d=0.242894 t=21961
tong yang 	同樣	c=4 d=0.0137736 t=21961
tong yi 	同一	c=1 d=0.000110003 t=21961
tong yi 	統一	c=4 d=0.00031751 t=21961
tong yi ge 	同一個	c=3 d=9.35125e-06 t=21961
tong yi ren 	同一人	c=1 d=1.3606e-05 t=21961
tong yi tiao 	同一條	c=1 d=7.97268e-12 t=21961
tong yong 	通用	c=10 d=0.348938 t=21961
tong zhi 	同志	c=5 d=0.0116203 t=21961
tong zhi 	統治	c=1 d=2.72106e-12 t=21961
tou 	頭	c=2 d=0.790571 t=21961
tou bu 	頭部	c=4 d=1.25332e-06 t=21961
tou chuan 	透傳	c=3 d=1.19824e-10 t=21961
tou da 	頭大	c=1 d=1.36176e-15 t=21961
tou di 	投遞	c=1 d=1.06495e-05 t=21961
tou ming 	透明	c=1 d=0.12493 t=21961
tou wen jian 	頭文件	c=1 d=0.000973123 t=21961
tu 	圖	c=10 d=0.078868 t=21961
tu cao 	吐槽	c=1 d=2.35826e-05 t=21961
tu hui 	圖繪	c=0 d=2.43132e-12 t=21961
tu pian 	圖片	c=4 d=0.133635 t=21961
tu xiang 	圖像	c=1 d=2.01512e-08 t=21961
tuan 	團	c=1 d=0.00114197 t=21961
tui 	推	c=1 d=2.23822e-08 t=21961
tui chi 	推遲	c=3 d=1.34809e-06 t=21961
tui chu 	推出	c=0 d=6.95971e-32 t=21961
tui chu 	退出	c=9 d=0.985445 t=21961
tui chu de 	推出的	c=1 d=6.9946e-31 t=21961
tui duan 	推斷	c=1 d=0.0483156 t=21961
tui guang 	推廣	c=2 d=0.0270736 t=21961
tui jian 	推薦	c=2 d=0.0271874 t=21961
tui song 	推送	c=8 d=1.83889e-07 t=21961
tui suan 	推算	c=1 d=0.000146278 t=21961
tuo 	坨	c=1 d=3.6882e-31 t=21961
tuo li 	脫離	c=2 d=0.00408677 t=21961
tuo pu 	拓撲	c=2 d=0.00154654 t=21961
wa 	哇	c=1 d=3.05476e-20 t=21961
wai 	外	c=6 d=0.00942123 t=21961
wai bu 	外部	c=5 d=0.511709 t=21961
wai guan 	外觀	c=1 d=1.33248e-24 t=21961
wai ji 	外既	c=1 d=4.68862e-31 t=21961
wai she 	外設	c=4 d=7.28695e-05 t=21961
wan 	完	c=13 d=0.38292 t=21961
wan 	晚	c=1 d=3.96734e-07 t=21961
wan 	碗	c=1 d=2.59461e-11 t=21961
wan bi 	完畢	c=12 d=0.0336352 t=21961
wan bi hou 	完畢後	c=3 d=3.10678e-11 t=21961
wan cheng 	完成	c=21 d=0.458577 t=21961
wan cheng hou 	完成後	c=1 d=1.9119e-07 t=21961
wan nian 	萬年	c=1 d=0.718924 t=21961
wan quan 	完全	c=1 d=0.00406639 t=21961
wan shan 	完善	c=1 d=0.00489275 t=21961
wan sui 	萬歲	c=1 d=2.51185e-12 t=21961
wan wan bu ke 	萬萬不可	c=0 d=8.93978e-07 t=21961
wan wan bu ke qu 	萬萬不可取	c=1 d=8.98459e-06 t=21961
wan wu 	萬物	c=1 d=2.2037e-31 t=21961
wan xiao 	玩笑	c=2 d=0.0789176 t=21961
wan yong biao 	萬用表	c=1 d=0.416862 t=21961
wan yu 	晚於	c=1 d=2.59373e-07 t=21961
wan zheng 	完整	c=2 d=3.4781e-31 t=21961
wang 	往	c=1 d=7.178e-12 t=21961
wang 	網	c=4 d=0.0335406 t=21961
wang chao 	王朝	c=2 d=3.68795e-31 t=21961
wang dao 	王道	c=1 d=0.00975476 t=21961
wang gong 	王工	c=2 d=0.000775715 t=21961
wang ji 	忘記	c=1 d=6.12835e-05 t=21961
wang le 	忘了	c=1 d=7.80127e-21 t=21961
wang luo 	網絡	c=4 d=0.0221482 t=21961
wang na 	往哪	c=1 d=1.04187e-12 t=21961
wang shang 	網上	c=2 d=3.08808e-14 t=21961
wang zhan 	網站	c=7 d=0.960789 t=21961
wei 	位	c=24 d=1.56691 t=21961
wei 	偉	c=1 d=6.84094e-05 t=21961
wei 	喂	c=3 d=0.0745162 t=21961
wei 	囗	c=1 d=0.0254765 t=21961
wei 	威	c=1 d=0.00019258 t=21961
wei 	尾	c=1 d=1.46707e-09 t=21961
wei 	微	c=1 d=0.000590229 t=21961
wei 	未	c=29 d=0.92752 t=21961
wei 	爲	c=136 d=4.11476 t=21961
wei 	魏	c=3 d=0.160414 t=21961
wei bu 	尾部	c=1 d=1.41661e-09 t=21961
wei chang 	位長	c=1 d=2.94468e-06 t=21961
wei chi 	維持	c=1 d=0.000131041 t=21961
wei da 	偉大	c=1 d=1.61773e-12 t=21961
wei dao 	味道	c=2 d=0.0389916 t=21961
wei dian zi 	微電子	c=1 d=0.00474815 t=21961
wei du 	未讀	c=6 d=0.364641 t=21961
wei dui qi 	未對齊	c=1 d=0.00106477 t=21961
wei fa chu 	未發出	c=1 d=2.78179e-07 t=21961
wei fa xian 	未發現	c=1 d=0.0332068 t=21961
wei gong 	魏工	c=19 d=0.914525 t=21961
wei gou 	喂狗	c=2 d=0.0338776 t=21961
wei hai 	危害	c=1 d=1.54949e-05 t=21961
wei hai 	威海	c=1 d=6.74691e-48 t=21961
wei hao 	尾號	c=1 d=0.364219 t=21961
wei hu 	維護	c=66 d=1.01433 t=21961
wei hu kou 	維護口	c=5 d=0.0704608 t=21961
wei hu ruan jian 	維護軟件	c=1 d=5.76048e-12 t=21961
wei le 	爲了	c=8 d=0.562573 t=21961
wei li 	爲例	c=1 d=0.0916297 t=21961
wei ling 	爲零	c=1 d=0.0862936 t=21961
wei ma 	餵馬	c=1 d=3.19037e-31 t=21961
wei miao 	微妙	c=1 d=0.0320647 t=21961
wei miao 	微秒	c=2 d=0.0981 t=21961
wei sha 	爲啥	c=2 d=3.32238e-08 t=21961
wei shen me 	爲什麼	c=2 d=1.50083e-12 t=21961
wei shu 	位數	c=5 d=0.00600763 t=21961
wei tiao 	微調	c=1 d=5.04847e-48 t=21961
wei wan cheng 	未完成	c=2 d=1.87883 t=21961
wei yong 	未用	c=5 d=0.207008 t=21961
wei zhi 	位置	c=11 d=0.839457 t=21961
wei zhi ding 	未指定	c=3 d=0.647265 t=21961
wei zhu 	爲主	c=1 d=7.77187e-06 t=21961
wei zuo 	未作	c=1 d=4.41722e-06 t=21961
wen 	問	c=6 d=0.0871609 t=21961
wen 	文	c=2 d=0.00535353 t=21961
wen 	溫	c=1 d=0.0527292 t=21961
wen ben 	文本	c=2 d=7.25484e-11 t=21961
wen cha 	溫差	c=1 d=0.00155699 t=21961
wen da 	問答	c=2 d=8.24233e-12 t=21961
wen dang 	文檔	c=16 d=0.0804596 t=21961
wen ding 	穩定	c=3 d=0.0765355 t=21961
wen du 	溫度	c=2 d=5.85489e-19 t=21961
wen hao 	問號	c=1 d=3.89885e-08 t=21961
wen jian 	文件	c=35 d=1.00007 t=21961
wen ti 	問題	c=85 d=1.69581 t=21961
wen ti ne 	問題呢	c=1 d=3.72729e-08 t=21961
wen yi xia 	問一下	c=1 d=5.85351e-24 t=21961
wen zhang 	文章	c=9 d=0.000179099 t=21961
wen zhang zhong 	文章中	c=2 d=0.00497588 t=21961
wen zhong 	文中	c=1 d=1.19474e-05 t=21961
wo 	我	c=89 d=0.915534 t=21961
wo ba 	我把	c=1 d=0.000796726 t=21961
wo de 	我的	c=3 d=0.985112 t=21961
wo fa xian 	我發現	c=1 d=0.0320647 t=21961
wo jiu 	我就	c=2 d=0.0455488 t=21961
wo men 	我們	c=14 d=0.140858 t=21961
wo qu 	我去	c=1 d=0.0437178 t=21961
wo shi 	我試	c=0 d=1.22794e-05 t=21961
wo shi shi 	我試試	c=1 d=0.00012341 t=21961
wo zai 	我在	c=4 d=6.75654e-06 t=21961
wo zhe 	我這	c=1 d=8.3252e-21 t=21961
wo zhe bian 	我這邊	c=1 d=8.38716e-20 t=21961
wo zhe zhong 	我這種	c=1 d=1.06292e-12 t=21961
wu 	五	c=0 d=9.52201e-14 t=21961
wu 	吳	c=1 d=1.00395e-17 t=21961
wu 	無	c=16 d=0.284152 t=21961
wu 	物	c=0 d=2.22668e-07 t=21961
wu 	誤	c=1 d=0.271173 t=21961
wu can 	午餐	c=1 d=1.21106e-47 t=21961
wu cao zuo 	無操作	c=2 d=8.3786e-08 t=21961
wu cha 	誤差	c=1 d=8.85233e-08 t=21961
wu ci bao 	無此包	c=1 d=1.0471e-12 t=21961
wu fa 	無法	c=14 d=0.594521 t=21961
wu fu hao 	無符號	c=8 d=0.0177365 t=21961
wu gu niang 	五姑娘	c=3 d=3.94298e-12 t=21961
wu jiao yan 	無校驗	c=1 d=2.42002e-15 t=21961
wu lei xing 	無類型	c=1 d=1.02319e-05 t=21961
wu li 	物理	c=6 d=4.40072e-05 t=21961
wu lian 	五蓮	c=1 d=2.34124e-08 t=21961
wu lian wang 	物聯網	c=13 d=0.067082 t=21961
wu ran 	污染	c=1 d=5.15588e-31 t=21961
wu shan 	誤刪	c=1 d=0.293758 t=21961
wu shu 	無數	c=1 d=2.22093e-05 t=21961
wu xian 	無線	c=6 d=0.355226 t=21961
wu xian 	無限	c=1 d=0.000596161 t=21961
wu xiang ying 	無響應	c=1 d=0.0154523 t=21961
wu xiao 	無效	c=19 d=0.390026 t=21961
wu xu 	無需	c=7 d=0.126933 t=21961
wu zhi 	無知	c=1 d=1.90793e-12 t=21961
xi 	系	c=1 d=2.43679e-08 t=21961
xi 	西	c=2 d=9.43178e-11 t=21961
xi fu 	吸附	c=1 d=1.82491e-18 t=21961
xi guan 	習慣	c=2 d=0.0720746 t=21961
xi jie 	細節	c=2 d=0.65377 t=21961
xi lie 	系列	c=13 d=0.0309618 t=21961
xi men 	西門	c=6 d=2.23125e-10 t=21961
xi ping 	息屏	c=2 d=1.39355e-07 t=21961
xi shou 	吸收	c=1 d=0.0107269 t=21961
xi shu 	係數	c=1 d=8.03475e-15 t=21961
xi tong 	系統	c=42 d=0.403182 t=21961
xi wang 	希望	c=2 d=0.826959 t=21961
xia 	下	c=27 d=0.619292 t=21961
xia ban 	下班	c=1 d=5.262e-06 t=21961
xia biao 	下表	c=1 d=0.000220415 t=21961
xia ci 	下次	c=4 d=0.00403613 t=21961
xia da 	下達	c=4 d=0.062662 t=21961
xia dang an 	下檔案	c=1 d=6.91322e-11 t=21961
xia fa 	下發	c=42 d=0.691445 t=21961
xia jian 	下賤	c=1 d=8.87827e-13 t=21961
xia lai 	下來	c=1 d=6.05686e-14 t=21961
xia le 	下了	c=1 d=2.05297e-21 t=21961
xia lou 	下樓	c=1 d=2.99427e-20 t=21961
xia mian 	下面	c=4 d=0.106968 t=21961
xia wan 	下完	c=1 d=2.85464e-17 t=21961
xia xian 	下限	c=5 d=0.000564697 t=21961
xia xing 	下行	c=40 d=1.18187 t=21961
xia yi 	下一	c=1 d=8.96462e-09 t=21961
xia yi bao 	下一包	c=1 d=2.05653e-12 t=21961
xia yi ci 	下一次	c=1 d=0.579842 t=21961
xia yi kuai 	下一塊	c=1 d=2.1904e-48 t=21961
xia zai 	下載	c=29 d=0.298024 t=21961
xia zhou 	下週	c=5 d=0.635546 t=21961
xian 	先	c=24 d=0.463013 t=21961
xian 	現	c=8 d=0.818731 t=21961
xian 	線	c=9 d=0.97531 t=21961
xian 	限	c=1 d=1.88536e-19 t=21961
xian chang 	現場	c=4 d=2.5002e-10 t=21961
xian cheng 	現成	c=1 d=0.00527382 t=21961
xian cheng 	線程	c=1 d=2.25212e-22 t=21961
xian dai 	現代	c=1 d=4.71212e-31 t=21961
xian ding 	限定	c=1 d=0.00186406 t=21961
xian ka 	顯卡	c=1 d=0.000315927 t=21961
xian lai 	先來	c=1 d=0.00782838 t=21961
xian lu 	線路	c=2 d=7.7531e-11 t=21961
xian ru 	先入	c=2 d=0.0457378 t=21961
xian ru 	陷入	c=2 d=0.092847 t=21961
xian ru wei zhu 	先入爲主	c=1 d=8.98612e-08 t=21961
xian shang 	線上	c=4 d=0.090365 t=21961
xian shi 	現實	c=4 d=0.00508829 t=21961
xian shi 	顯示	c=17 d=0.36531 t=21961
xian shi qi 	顯示器	c=2 d=1.03538 t=21961
xian shi zai 	顯示在	c=1 d=5.49279e-11 t=21961
xian shi zhong 	現實中	c=1 d=0.000136389 t=21961
xian xiang 	現象	c=6 d=0.774916 t=21961
xian xing 	先行	c=1 d=0.0117371 t=21961
xian xing zhe 	先行者	c=1 d=0.00618889 t=21961
xian xu 	線序	c=1 d=3.76411e-06 t=21961
xian you 	現有	c=4 d=0.025223 t=21961
xian zai 	現在	c=21 d=0.223795 t=21961
xian zhi 	限值	c=3 d=3.25391e-13 t=21961
xian zhi 	限制	c=19 d=1.85019 t=21961
xiang 	像	c=3 d=0.0140559 t=21961
xiang 	向	c=14 d=1.39542 t=21961
xiang 	想	c=7 d=1.00598 t=21961
xiang 	象	c=1 d=2.24822e-31 t=21961
xiang 	響	c=4 d=1.48999e-07 t=21961
xiang 	項	c=1 d=0.0642483 t=21961
xiang ban fa 	想辦法	c=1 d=0.00603608 t=21961
xiang bi 	相比	c=2 d=0.185444 t=21961
xiang cha 	相差	c=1 d=0.186374 t=21961
xiang dang yu 	相當於	c=3 d=1.56506e-05 t=21961
xiang deng 	相等	c=2 d=0.00116504 t=21961
xiang fa 	想法	c=2 d=0.0112491 t=21961
xiang guan 	相關	c=21 d=0.923776 t=21961
xiang guan xing 	相關性	c=1 d=2.46765e-09 t=21961
xiang mu 	項目	c=11 d=0.99943 t=21961
xiang qi 	向其	c=2 d=0.000884949 t=21961
xiang su 	像素	c=1 d=2.82335e-05 t=21961
xiang tong 	相同	c=4 d=0.000176887 t=21961
xiang xi 	詳細	c=1 d=0.00588705 t=21961
xiang xiang 	想想	c=1 d=0.22313 t=21961
xiang xin 	相信	c=1 d=0.000151489 t=21961
xiang ying 	相應	c=6 d=0.244954 t=21961
xiang ying 	響應	c=43 d=1.83432 t=21961
xiang ying zhen 	響應幀	c=1 d=0.278037 t=21961
xiao 	小	c=8 d=0.0970446 t=21961
xiao ban 	小板	c=1 d=3.63959e-22 t=21961
xiao cheng xu 	小程序	c=2 d=0.00146632 t=21961
xiao chu 	消除	c=1 d=5.49635e-48 t=21961
